Название Магазина,Номер телефона,Адрес 
Dizayn-Plaza.ru,"8 (800) 770-00-14, +7 (495) 776-11-62","125130, Нарвская ул., 2"
Мебель Альтаир,"+7 (495) 909-03-40, +7 (495) 909-04-63, +7 (495) 799-42-60, +7 (968) 358-24-02","107023, Малая Семёновская ул., 30, стр. 8"
Шоу-рум BirBor,+7 (925) 258-74-12,"Москва, Мерзляковский пер., 15"
МастерМебель Отдел персонала,"+7 (495) 617-16-53, +7 (495) 617-16-55, +7 (499) 745-07-19","125438, Автомоторная ул., 1/3с2"
Ariani,+7 (495) 640-67-28,"Москва, Кронштадтский бул., 14"
Интернет-магазин Белорусская мебель,+7 (925) 880-08-00,Москва
Нет названия,Нет номера,Нет адресса
Шкафы Идеал,+7 (495) 664-41-65,"Россия, Москва, Локомотивный проезд, 4"
The Low High Project,+7 (985) 444-32-10,"123112, Пресненская наб., 12"
Аврорадекор,+7 (915) 078-78-75,"Россия, Москва, улица Маршала Василевского, 13"
Мебель Proffy,+7 (495) 518-53-36,"Москва, Ленинградское ш., 1"
Urban Concept,+7 (915) 111-13-25,"117630, ул. Архитектора Власова, 57"
Малина - студия авторской мебели,+7 (960) 888-00-09,"123022, ул. Красная Пресня, 23, корп. Б, стр. 1"
Дистрибьюторская фирма Interior Deco Art - мультинациональная,+7 (495) 695-59-46,"Москва, Малый Кисловский пер., 7"
Нет названия,Нет номера,Нет адресса
Студия кухонь Foglioro,"+7 (977) 899-32-39, +7 (926) 249-71-00","123308, ул. Мнёвники, 10, корп. 1"
Ra Студия мебели,+7 (495) 642-36-65,"Москва, ул. Прянишникова, 19а, стр. 2, 2 подьезд"
Эси,+7 (495) 755-33-41,"Москва, ул. Нарвская, 2"
Офис за 3 дня,"+7 (495) 925-29-99, +7 (495) 925-59-25","Россия, Москва, Звенигородское шоссе, 2"
Кресло-Мешок-Пуфик. РУ,+7 (495) 643-01-45,"Россия, Москва, 5-я Магистральная улица, 6"
SavSтиль,+7 (920) 914-66-66,"Москва, Кронштадтский бул., 14, стр. 3"
Mebelleos,+7 (926) 718-15-01,"Москва, Соломенной Сторожки пр-д, 5"
МебоЛюкс,+7 (495) 782-78-76,"Москва, ул. 3-я Тверская-Ямская, 42/8"
Фабрика Pantas,+7 (495) 294-40-64,"127018, Складочная ул., 20, стр. 1"
Underit,"+7 (495) 730-53-86, +7 (495) 690-48-32","Москва, Никитский бул., 12"
МодульЛайн,"+7 (916) 245-88-83, +7 (999) 989-29-32","127521, Октябрьская ул., 80, стр. 8"
Локус дизайн,"+7 (916) 591-92-27, +7 (495) 766-23-59","125212, Кронштадтский бул., 14"
Ремендо,+7 (926) 234-06-67,"127137, ул. Правды, 24, стр. 2"
MP outlet,+7 (985) 870-22-22,"Москва, ул. Новый Арбат, 36, стр. 3"
Колор Дэск,"+7 (499) 391-68-27, +7 (926) 477-06-96","Россия, Москва, Хорошёвское шоссе, 9"
МеТра,"+7 (495) 743-98-68, +7 (925) 110-98-68","Россия, Москва, Краснопролетарская улица, 31/1с5"
Мебельный салон от фабрики Мастерские Комфорта,+7 (926) 307-00-06,"Россия, Москва, улица Народного Ополчения, 28к1, Детский мир, эт. цокольный"
СВ Стилл,+7 (905) 551-60-21,"Россия, Москва, Большая Грузинская улица, 40к1"
Luxuryfloor,+7 (499) 381-06-68,"Москва, ул. Вятская, 27, стр. 1"
ВашаМебель,+7 (985) 390-68-90,"115230, Каширское ш., 19, корп. 2"
Фениче ТМ,"+7 (495) 922-88-25, +7 (968) 595-98-88, +7 (968) 739-17-77","Россия, Москва, 2-я Магистральная улица, 10с1"
Шкафчик на балкончик,+7 (495) 799-20-17,"Москва, ул. Вятская, 87"
Loftman,+7 (967) 129-73-55,"Москва, Столешников пер., 6, корп.3"
Колор Дэск,"+7 (499) 391-68-27, +7 (926) 477-06-96","123007, Хорошёвское ш., 9"
Софт Волл,"8 (800) 775-34-48, +7 (962) 905-67-67","127422, Тимирязевская ул., 2/3"
Мир Кухни Плюс,+7 (495) 104-22-54,"123007, 2-й Хорошёвский пр., 7, корп. 1"
Полисфера,"+7 (906) 033-33-60, +7 (968) 768-82-22","Россия, Москва, Кронштадтский бульвар, 14с2"
Гардеробные шкафы,+7 (968) 575-77-33,"127018, Складочная ул., 1, стр. 5"
Каменный Шпон,+7 (901) 183-89-80,"Москва, ул. Большая Новодмитровская, 36, корп.2"
Vlady Boutique,+7 (499) 703-03-54,"115230, Каширское ш., 3, корп. 2, стр. 9"
ВМК Шале,+7 (495) 984-06-42,"Москва, Кронштадтский бул., 9"
Кухни Виера,+7 (495) 787-78-85,"Москва, Кронштадтский бул., 14"
Ракун-К,"+7 (495) 375-65-29, +7 (926) 288-17-06","Москва, ул. Большая Грузинская, 60"
StoryStore,+7 (495) 748-79-88,"город Москва, Большая Новодмитровская улица, 36с9"
Тривита,+7 (495) 517-55-12,"Москва, Ленинградский просп., 63"
Bvs-Interiors,"+7 (495) 605-66-77, +7 (495) 626-70-85, +7 (981) 105-25-55","Москва, ул. Николаева, 4/4"
Arva,+7 (495) 643-63-69,"125212, Ленинградское ш., 25"
Интерьеры Италии,+7 (495) 771-10-42,"Ленинградский просп., 80Г"
Магазин мебели и аксессуаров,+7 (499) 252-02-63,"Москва, ул. Заморенова, 5"
Троя,+7 (903) 215-46-06,"Россия, Москва, Тимирязевская улица, 2/3, ТЦ Парк 11"
Интернет-магазин Мебель ОВИ,+7 (495) 740-21-29,"Москва, ул. Тимирязевская, 2/3"
BelkaDesign экомебель для детей,"+7 (495) 649-60-22, +7 (916) 489-35-60","127018, ул. Сущёвский Вал, 5, стр. 9"
Фартук для кухни - Decor Skinali,+7 (495) 104-58-65,"Россия, Москва, Лодочная улица, 5к1, оф. 506"
Нет названия,Нет номера,Нет адресса
Криспанти,+7 (495) 215-17-28,"город Москва, бульвар Кронштадтский, 12б"
Роникон,"+7 (495) 765-60-65, +7 (495) 774-09-65","Москва, улица Академика Бочвара, 7, корп. 2"
Кухонная студия Мария,"8 (800) 100-31-31, +7 (495) 988-50-38","125284, Беговая ул., 11"
Роникон,+7 (499) 154-01-34,"Россия, Москва, Михалковская улица, 24"
Роникон,+7 (985) 556-22-28,"Москва, улица Народного Ополчения, 28, корп. 1"
Роникон,+7 (916) 065-95-97,"Москва, улица Маршала Малиновского, 8"
Кухонный Двор,+7 (495) 500-04-04,"127015, Бутырская ул., 65/68"
Нет названия,Нет номера,Нет адресса
Роникон,+7 (495) 580-32-97,"Москва, Ленинградский проспект, 31А, стр. 1"
Роникон,+7 (915) 453-96-09,"Москва, Старый Петровско-Разумовский проезд, 1/23"
Диваны Тут!,"+7 (495) 374-93-92, +7 (495) 215-07-13","125252, Ходынский бул., 4"
Мебельный салон Kuhni the best,+7 (495) 518-68-77,"Московская обл., Долгопрудный, просп. Ракетостроителей, 5, корп.1"
Kronne,+7 (915) 370-77-53,"Россия, Московская область, Долгопрудный, Лихачёвское шоссе, 15"
Routerproject.ru,+7 (925) 174-44-04,"127566, Юрловский пр., 20, стр. 1"
Роникон,+7 (965) 357-55-10,"Россия, Москва, Петрозаводская улица, 24Б"
КТК-кухни,+7 (927) 360-70-78,"Виноградная ул., 7К, Долгопрудный"
Estet Interiors,"+7 (985) 185-81-32, +7 (926) 225-94-95, +7 (495) 766-13-06","127495, Дмитровское ш., 163А"
Мир мебели,"+7 (964) 700-75-74, +7 (495) 221-25-67, +7 (499) 904-17-33","Москва, ул. Дубнинская, 10, корп.1"
Реставрационная мастерская ResMebeli,+7 (926) 303-30-01,"127238, Ильменский пр., 14"
Кухонный Двор,+7 (495) 500-04-04,"125445, Ленинградское ш., 112/1"
Moskwa-mebel,"+7 (499) 394-43-08, +7 (905) 536-05-05","125581, Фестивальная ул., 24"
Ржевский и компания,+7 (499) 464-00-70,"127549, ул. Пришвина, 8, корп. 2"
Мебельная мастерская,+7 (495) 211-81-49,"125412, Ижорская ул., 13"
3D-stoly.ru,+7 (916) 609-92-90,"Россия, Москва, Дубнинская улица, 75"
РИ-недвижимость,+7 (499) 390-20-17,"Москва, Дмитровское ш., 100, стр. 2"
Stockstol,+7 (495) 645-76-43,"Москва, ул. Фестивальная, 22, корп.2"
Магазин мебели,"+7 (927) 096-60-80, +7 (962) 954-31-89","141707, Московское ш., 6А, Долгопрудный"
ВИЗИС — Стекло • зеркала • декор,"+7 (903) 720-23-79, +7 (985) 970-59-32","Россия, Москва, Флотская улица, 13к4, пом. 1, эт. 1"
Мебель на заказ,+7 (495) 241-91-64,"Россия, Москва, улица Хачатуряна, 12к2"
Аристо,"+7 (495) 668-88-89, 8 (800) 555-49-38, +7 (966) 365-22-33","Москва, Дмитровское ш., 161б"
Sale мебель,+7 (495) 150-39-10,"Москва, Лианозовский пр-д, 6"
Devii,+7 (926) 617-66-51,"Россия, Москва, улица Пришвина, 26"
Волхова Москва,"+7 (499) 394-57-30, +7 (968) 793-11-33","Москва, Керамический пр-д, 65, корп.2"
ГК Аванти,"+7 (929) 648-48-09, +7 (495) 298-75-17, +7 (495) 744-38-02","Москва, ул. Верхнелихоборская, 11"
Фортуна,"+7 (495) 645-24-43, +7 (962) 921-60-76","127253, Дмитровское ш., 118, корп. 1"
Азбука мебели,+7 (903) 595-91-60,"Россия, Москва, Дмитровское шоссе, 161Б, ТК Империя"
Мебельный магазин,+7 (977) 383-62-93,"125412, Коровинское ш., 24, корп. 1"
Фабрика деревообработки,+7 (495) 228-03-09,"64К, д. Грибки"
Мебель номер 1,+7 (926) 447-73-44,"Северный пр., 1"
Кухни-Неман,+7 (499) 390-52-21,"Москва, Алтуфьевское ш., 80"
Kupe-style,+7 (985) 141-84-97,"Москва, ул. Чермянская, 9, Промзона"
Салон Greta,"+7 (964) 795-00-55, +7 (985) 465-13-83","Россия, Москва, Дмитровское шоссе, 161Б"
Bestmebel,"+7 (925) 355-35-28, +7 (499) 390-68-24","Россия, Москва, Петрозаводская улица, 24Ас1, Универсам № 76, эт. 2"
Кухни для Семьи,"+7 (926) 265-68-09, +7 (499) 391-38-53","127540, Дубнинская ул., 10, корп. 1"
Аллант,+7 (926) 557-25-06,"Москва, Дмитровское ш., 159, ТЦ Империя, эт. 2"
Classic Wood Stroy,+7 (916) 510-72-95,"Москва, ул. Селигерская, 18"
Denakon,"+7 (926) 522-79-79, +7 (964) 712-89-89","Россия, Москва, улица Пришвина, 26"
Модуль Купе,+7 (916) 121-28-97,"Москва, ул. Дубнинская, 10, корп.1"
Arva,+7 (905) 591-51-17,"Москва, Алтуфьевское ш., 24"
Rumbl.ru,+7 (495) 989-42-29,"Россия, Москва, Бибиревская улица, 4"
